Usuario,Pregunta1,Pregunta2,Pregunta3,Pregunta4,Pregunta5,Pregunta6,Pregunta7,Pregunta8,Pregunta9,Pregunta10
Usuario1,5,5,3,4,1,4,3,5,1,2
Usuario2,2,3,3,1,3,5,2,2,2,2
Usuario3,3,2,1,2,4,1,3,4,3,4
Usuario4,3,3,4,4,3,3,2,4,3,4
Usuario5,4,3,4,1,1,2,1,5,4,5
Usuario6,3,1,1,1,3,5,2,3,2,3
Usuario7,2,5,3,3,5,1,2,4,1,5
Usuario8,2,1,3,2,3,4,2,4,5,2
Usuario9,3,3,1,5,3,2,3,2,5,2
Usuario10,5,1,1,4,5,5,3,5,2,4
Usuario11,5,4,3,5,3,3,5,4,4,1
Usuario12,1,2,1,5,5,2,4,4,5,4
Usuario13,3,4,5,5,2,2,3,3,1,4
Usuario14,4,1,3,3,3,5,2,5,4,1
Usuario15,3,4,4,5,1,2,2,3,3,3
Usuario16,5,2,2,2,3,1,5,2,1,2
Usuario17,3,4,3,5,1,3,4,2,3,3
Usuario18,4,4,4,5,2,3,3,3,1,4
Usuario19,4,3,3,2,1,5,2,4,4,5
Usuario20,3,1,1,3,3,5,1,1,3,2
Usuario21,3,5,3,5,5,4,1,2,1,5
Usuario22,1,4,1,3,1,3,2,3,4,4
Usuario23,1,4,5,2,3,3,1,2,1,2
Usuario24,1,1,5,2,3,5,2,4,2,4
Usuario25,5,5,1,2,1,4,4,5,5,3
Usuario26,3,3,1,2,1,1,3,2,1,2
Usuario27,4,2,1,2,3,3,1,4,3,4
Usuario28,4,1,4,5,3,4,2,1,1,5
Usuario29,5,4,1,2,2,4,2,4,4,1
Usuario30,5,1,2,1,2,5,3,3,1,5
Usuario31,4,2,4,2,1,2,3,3,1,4
Usuario32,2,2,2,3,5,4,3,2,2,1
Usuario33,3,1,4,2,3,3,3,5,2,2
Usuario34,2,3,3,4,1,5,1,3,2,2
Usuario35,5,1,3,1,5,2,3,3,4,5
Usuario36,3,5,4,2,4,2,3,1,5,2
Usuario37,3,1,1,4,5,3,2,2,5,3
Usuario38,5,5,3,2,3,2,4,4,5,4
Usuario39,1,3,2,4,5,4,5,4,3,3
Usuario40,4,3,5,4,1,1,1,4,5,2
Usuario41,1,5,2,5,4,3,4,2,3,5
Usuario42,2,1,2,4,5,5,5,1,5,5
Usuario43,2,2,5,2,2,3,3,4,1,2
Usuario44,5,3,4,4,4,4,5,4,1,1
Usuario45,5,1,1,5,4,1,1,2,2,5
Usuario46,2,4,3,1,5,5,5,4,3,3
Usuario47,3,5,5,3,1,3,3,1,1,4
Usuario48,2,3,1,2,3,1,1,1,1,1
Usuario49,1,5,5,4,1,1,3,3,1,3
Usuario50,5,3,2,3,2,1,4,5,1,4
Usuario51,4,4,3,5,3,1,2,1,5,1
Usuario52,2,2,4,3,1,5,1,4,5,5
Usuario53,3,5,1,1,3,1,3,5,1,1
Usuario54,3,5,4,5,2,1,5,2,4,2
Usuario55,3,1,2,1,5,5,5,4,3,5
Usuario56,4,1,3,2,5,4,5,2,4,1
Usuario57,2,3,5,5,4,2,1,1,3,3
Usuario58,2,4,4,2,5,5,5,3,5,5
Usuario59,2,3,1,4,5,4,1,3,3,3
Usuario60,4,2,4,2,5,5,1,1,3,3
Usuario61,4,1,5,1,5,4,4,4,3,3
Usuario62,3,4,4,3,5,3,1,3,4,1
Usuario63,1,1,2,3,2,5,3,1,1,2
Usuario64,2,4,3,4,1,2,1,1,2,3
Usuario65,5,4,4,1,1,3,2,5,1,2
Usuario66,3,3,2,5,2,5,5,1,4,3
Usuario67,4,5,4,4,4,4,1,3,3,1
Usuario68,2,2,2,5,4,5,2,4,1,2
Usuario69,3,5,1,1,2,2,3,2,3,5
Usuario70,1,3,3,5,3,3,3,4,4,5
Usuario71,1,2,1,1,3,2,4,5,2,3
Usuario72,5,3,5,1,5,2,4,5,2,5
Usuario73,2,5,4,3,4,2,1,2,2,3
Usuario74,1,3,5,5,3,1,5,3,2,3
Usuario75,1,3,4,3,2,3,5,5,3,3
Usuario76,2,1,4,4,2,3,3,1,5,4
Usuario77,4,1,3,4,5,2,5,4,4,1
Usuario78,2,5,5,5,3,1,5,1,5,4
Usuario79,5,3,5,3,2,2,4,2,2,4
Usuario80,5,1,4,4,3,3,1,1,5,1
Usuario81,5,4,4,2,2,3,1,4,4,3
Usuario82,1,3,1,4,5,5,3,5,5,3
Usuario83,5,4,3,1,5,4,5,5,3,5
Usuario84,3,2,4,1,5,2,3,1,4,2
Usuario85,1,2,2,1,5,1,4,1,5,1
Usuario86,4,5,4,3,5,3,2,3,2,1
Usuario87,2,1,4,5,2,3,4,4,3,3
Usuario88,3,3,2,5,4,1,2,5,2,1
Usuario89,2,1,5,3,1,3,2,1,1,3
Usuario90,2,1,5,5,2,3,3,3,2,1
Usuario91,3,4,1,4,1,2,5,5,5,2
Usuario92,2,5,5,5,3,1,5,5,5,5
Usuario93,4,2,2,1,1,5,1,1,2,4
Usuario94,1,4,1,5,2,3,2,2,3,2
Usuario95,3,4,4,5,3,5,3,1,3,3
Usuario96,5,3,4,1,3,2,5,5,3,5
Usuario97,5,5,1,5,3,4,4,3,3,2
Usuario98,1,2,4,4,1,2,5,2,2,4
Usuario99,2,2,5,5,1,5,3,2,1,1
Usuario100,1,2,3,3,3,5,3,1,2,1
Usuario101,4,4,1,3,1,5,4,4,5,2
Usuario102,4,1,1,4,4,2,3,5,2,5
Usuario103,2,5,3,3,1,3,1,4,5,3
Usuario104,3,5,5,2,2,5,2,3,2,4
Usuario105,3,1,5,1,2,2,1,2,4,2
Usuario106,3,2,1,2,1,3,5,1,3,3
Usuario107,1,5,1,1,1,4,1,2,3,3
Usuario108,2,5,1,3,1,2,5,2,4,4
Usuario109,1,5,3,3,2,2,3,4,3,4
Usuario110,2,4,2,1,1,2,2,4,3,5
Usuario111,3,4,3,2,3,5,1,5,2,4
Usuario112,5,2,3,1,3,4,4,4,2,2
Usuario113,5,2,5,5,3,2,4,2,5,2
Usuario114,3,3,2,3,2,1,1,3,2,5
Usuario115,4,2,4,4,1,4,2,2,5,3
Usuario116,3,4,1,3,4,4,3,3,5,4
Usuario117,4,3,3,4,5,1,2,3,1,3
Usuario118,5,2,2,5,3,1,3,5,3,3
Usuario119,3,1,4,4,3,1,3,1,5,2
Usuario120,1,5,2,1,2,2,3,3,1,4
Usuario121,5,5,1,1,4,3,2,2,1,5
Usuario122,2,5,1,5,4,3,4,2,2,3
Usuario123,4,1,1,3,3,2,2,1,2,3
Usuario124,3,5,1,3,1,1,4,3,5,1
Usuario125,5,2,3,1,3,4,3,2,4,5
Usuario126,4,1,5,5,1,4,1,3,5,1
Usuario127,1,1,1,5,2,4,5,2,4,4
Usuario128,2,5,2,4,5,5,5,5,3,3
Usuario129,1,2,1,5,2,4,2,5,2,5
Usuario130,4,2,4,5,1,5,1,4,4,4
Usuario131,1,5,3,5,2,5,4,2,5,2
Usuario132,4,5,3,1,2,2,3,3,5,4
Usuario133,4,5,1,2,4,2,2,1,4,5
Usuario134,1,3,3,3,3,4,1,5,5,2
Usuario135,3,1,3,2,2,2,3,2,1,1
Usuario136,5,2,3,2,2,3,2,5,3,4
Usuario137,3,2,5,5,1,3,1,1,5,2
Usuario138,5,5,1,4,1,1,1,5,3,4
Usuario139,5,2,2,2,1,2,3,5,1,3
Usuario140,5,2,2,1,5,5,5,3,5,3
Usuario141,1,1,3,5,3,1,4,5,3,4
Usuario142,5,1,2,2,1,5,1,2,3,2
Usuario143,1,1,1,2,2,3,4,5,1,2
Usuario144,2,3,1,1,5,2,2,5,3,2
Usuario145,3,2,4,5,5,2,4,1,4,3
Usuario146,3,4,2,5,1,1,5,4,1,4
Usuario147,3,5,1,5,1,4,3,4,4,4
Usuario148,3,5,3,2,2,1,1,1,2,5
Usuario149,4,3,2,4,4,4,2,5,2,5
Usuario150,4,4,5,1,4,1,5,5,5,3
Usuario151,5,5,3,1,5,2,3,3,1,4
Usuario152,3,4,1,3,2,1,3,5,4,4
Usuario153,5,4,5,3,5,1,4,4,4,3
Usuario154,4,4,5,3,1,1,3,4,5,5
Usuario155,2,3,1,1,4,4,3,1,4,2
Usuario156,1,5,3,3,2,3,5,2,2,3
Usuario157,2,1,5,2,4,5,1,1,1,4
Usuario158,5,5,4,5,4,5,3,2,2,3
Usuario159,3,4,1,5,1,4,2,2,2,5
Usuario160,4,4,1,3,3,1,5,2,4,5
Usuario161,3,4,5,1,1,4,1,3,1,1
Usuario162,3,5,4,5,2,5,1,2,5,2
Usuario163,1,5,5,3,3,5,4,5,3,4
Usuario164,1,1,1,3,3,3,1,3,5,4
Usuario165,1,1,1,5,1,1,4,2,3,5
Usuario166,5,4,5,3,3,2,4,3,2,4
Usuario167,1,4,1,5,4,3,2,2,1,3
Usuario168,1,4,2,5,2,5,2,4,2,3
Usuario169,3,2,2,1,5,2,4,1,5,5
Usuario170,2,4,5,3,5,2,3,1,2,5
Usuario171,5,5,4,2,1,2,2,2,1,5
Usuario172,1,2,1,2,2,2,5,4,2,5
Usuario173,2,2,1,3,5,5,1,4,1,2
Usuario174,4,5,5,2,5,2,1,5,1,2
Usuario175,1,3,1,5,5,5,4,5,5,4
Usuario176,5,5,2,4,4,2,2,5,5,3
Usuario177,1,3,4,3,5,1,5,3,4,1
Usuario178,2,1,4,1,4,2,3,1,1,5
Usuario179,2,1,4,3,3,5,3,2,1,2
Usuario180,2,2,3,2,1,4,3,1,1,2
Usuario181,4,5,4,2,3,4,1,1,1,4
Usuario182,5,2,4,5,2,1,2,5,4,5
Usuario183,2,2,3,5,2,1,5,1,5,2
Usuario184,2,2,1,5,4,5,5,2,1,3
Usuario185,3,5,4,3,2,5,1,1,2,1
Usuario186,2,5,4,2,3,2,3,3,3,5
Usuario187,1,2,3,4,1,3,1,1,5,2
Usuario188,1,5,3,2,1,1,4,4,2,3
Usuario189,1,3,3,2,5,1,4,1,2,4
Usuario190,1,4,1,5,1,1,1,3,2,2
Usuario191,2,2,4,4,3,4,2,2,5,5
Usuario192,4,4,2,3,4,5,3,5,1,3
Usuario193,3,1,5,4,2,1,2,4,2,3
Usuario194,2,1,1,1,5,1,5,5,1,3
Usuario195,2,3,1,4,3,3,5,2,1,4
Usuario196,1,4,3,2,5,3,3,1,2,5
Usuario197,4,2,4,1,4,1,3,1,1,3
Usuario198,4,4,5,5,5,2,4,2,1,1
Usuario199,5,2,4,3,4,1,2,3,5,3
Usuario200,2,4,3,4,5,2,4,4,5,3
Usuario201,1,5,1,3,2,3,5,4,4,2
Usuario202,4,1,1,5,3,1,1,1,4,5
Usuario203,2,5,2,3,4,5,4,2,5,2
Usuario204,1,4,4,4,5,4,1,4,5,2
Usuario205,1,2,4,4,4,4,4,3,1,2
Usuario206,4,1,4,2,3,5,3,2,2,3
Usuario207,3,4,1,1,1,1,5,1,5,3
Usuario208,4,2,3,1,4,2,1,5,5,3
Usuario209,4,4,3,4,3,5,2,2,2,1
Usuario210,3,3,3,4,5,3,1,2,4,3
Usuario211,4,4,4,2,1,5,5,1,3,1
Usuario212,4,1,1,1,4,2,3,1,4,4
